Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-10-02,85.150002,87.129997,85.089996,86.57,82.381981,5602300,664
2020-10-05,87.269997,88.68,87.199997,88.470001,84.190056,7004800,665
2020-10-06,88.650002,89.279999,86.800003,87.010002,82.80069,7951100,666
2020-10-07,87.82,88.980003,87.440002,88.449997,84.171021,5179300,667
2020-10-08,88.459999,89.610001,88.410004,89.529999,85.198792,4958800,668
2020-10-09,89.800003,90.330002,89.580002,90.010002,85.655579,6197700,669
2020-10-12,90.459999,91.099998,89.93,90.779999,86.388313,5909100,670
2020-10-13,90.580002,90.849998,89.769997,90.160004,85.798317,5732000,671
2020-10-14,90.169998,90.599998,88.559998,89.309998,84.989426,4760700,672
2020-10-15,88.160004,88.870003,87.669998,88.830002,84.532661,5002200,673
2020-10-16,89.389999,89.629997,88.440002,88.519997,84.23764,4721300,674
2020-10-19,88.699997,89.57,87.360001,87.599998,83.362152,5426600,675
2020-10-20,88.68,89.720001,88.040001,88.510002,84.228127,4939700,676
2020-10-21,88.379997,89.160004,88.190002,88.269997,83.999725,4119200,677
2020-10-22,88.019997,89.379997,87.699997,89.360001,85.03701,4257800,678
2020-10-23,89.800003,90.959999,89.440002,90.800003,86.407349,7811500,679
2020-10-26,90.029999,91.129997,88.650002,89.660004,85.322495,7756400,680
2020-10-27,89.480003,90.349998,89.169998,90.050003,85.693642,8027500,681
2020-10-28,88.650002,88.949997,86.610001,87.169998,82.95295,12738800,682
2020-10-29,87.169998,89.110001,86.610001,88.300003,84.028282,8440000,683
2020-10-30,87.75,88.389999,85.629997,86.959999,82.753105,11400700,684
2020-11-02,87.540001,87.769997,85.449997,85.970001,81.811012,8904900,685
2020-11-03,86.779999,89.059998,86.18,88.389999,84.113922,6910400,686
2020-11-04,88.900002,91.290001,88.739998,89.790001,85.446213,10509400,687
2020-11-05,90.690002,91.160004,89.900002,90.620003,86.236046,6169700,688
2020-11-06,90.150002,91.199997,89.779999,90.650002,86.26461,6626100,689
2020-11-09,97.32,97.650002,95.639999,95.879997,91.241585,16225800,690
2020-11-10,93.739998,95.269997,93.139999,93.919998,89.797859,10474700,691
2020-11-11,94.110001,95.830002,94.019997,95.040001,90.868706,8296500,692
2020-11-12,94.660004,94.760002,92.660004,93.529999,89.424973,7058400,693
2020-11-13,94.379997,95.589996,93.699997,95.559998,91.365875,5516100,694
2020-11-16,96.790001,97.809998,96.019997,97.779999,93.488449,9371300,695
2020-11-17,97.209999,98.779999,96.809998,98.599998,94.272453,8722300,696
2020-11-18,98.629997,99.330002,97.910004,97.910004,93.612747,6039500,697
2020-11-19,97.239998,97.919998,96.860001,97.760002,93.46933,4252300,698
2020-11-20,97.419998,97.540001,96.949997,97.010002,92.752243,4609700,699
2020-11-23,97.620003,97.860001,96.419998,96.879997,92.627945,4803200,700
2020-11-24,97.510002,98.720001,97.400002,98.300003,93.985634,6319900,701
2020-11-25,98.5,98.540001,97.940002,98.199997,93.890022,4027100,702
2020-11-27,98.480003,98.980003,98.279999,98.660004,94.329826,2169700,703
2020-11-30,98.199997,98.290001,96.959999,98.019997,93.717918,5197300,704
2020-12-01,99,99.260002,98.25,98.82,94.482803,4970000,705
2020-12-02,98.510002,99.040001,98.209999,98.910004,94.568863,3377900,706
2020-12-03,99.019997,101,98.970001,100.110001,95.716194,6264100,707
2020-12-04,101.349998,102.940002,101.07,102.279999,97.790947,6952700,708
2020-12-07,102.010002,102.220001,100.690002,101.410004,96.959129,4514800,709
2020-12-08,100.370003,101.57,100.010002,101.209999,96.767891,3911300,710
2020-12-09,101.940002,102.209999,100.099998,100.400002,95.993462,6629900,711
2020-12-10,103.510002,106.089996,102.75,105.389999,100.764435,12939200,712
2020-12-11,104.410004,104.779999,102.330002,103,98.479347,6262600,713
2020-12-14,103.830002,104.709999,103.25,103.32,98.785301,5156200,714
2020-12-15,104.239998,104.860001,103.779999,104.18,99.607552,5195200,715
2020-12-16,104.099998,104.800003,102.720001,103.269997,98.737488,6409300,716
2020-12-17,103.550003,104.040001,102.610001,103.209999,98.680122,4535700,717
2020-12-18,103.330002,104.110001,102.949997,103.279999,98.747055,10215000,718
2020-12-21,101.220001,103.150002,100.019997,102.940002,98.421989,7175900,719
2020-12-22,102.120003,103.169998,101.889999,102.410004,97.915245,4302700,720
2020-12-23,102.290001,102.690002,101.970001,102.059998,97.580597,3817300,721
2020-12-24,102.300003,102.360001,101.68,102.010002,97.532791,1949200,722
2020-12-28,102.919998,104.379997,102.309998,104.339996,99.760529,5055200,723
2020-12-29,104.889999,105.779999,104.470001,105.629997,100.993912,4780900,724
2020-12-30,105.989998,106.620003,105.779999,105.970001,101.319,3654100,725
2020-12-31,106,107.139999,105.620003,106.980003,102.284668,3566300,726
2021-01-04,107.660004,107.75,102.139999,103.099998,98.574959,8041500,727
2021-01-05,102.919998,104.260002,102.800003,103.440002,98.900032,5721900,728
2021-01-06,102.989998,105.209999,102.910004,104.190002,99.617111,5017200,729
2021-01-07,104.489998,104.639999,102.949997,103.349998,98.813972,5057000,730
2021-01-08,103.860001,105.760002,103.419998,105.669998,101.03215,5869700,731
2021-01-11,105.099998,105.639999,104.269997,104.599998,100.009117,4257400,732
2021-01-12,104.010002,104.32,102.309998,102.82,98.307243,4332600,733
2021-01-13,102.32,103.379997,101.489998,102.889999,98.374161,4804500,734
2021-01-14,103.800003,104.190002,101.709999,101.82,97.351135,4528300,735
2021-01-15,101.379997,102.690002,101.209999,102.330002,97.838753,5522900,736
2021-01-19,102.800003,103.599998,101.339996,102.540001,98.039536,6519600,737
2021-01-20,102.410004,105.849998,102.199997,105.459999,100.831375,5844300,738
2021-01-21,105.459999,105.489998,104.449997,104.580002,99.989998,5731500,739
2021-01-22,104.160004,104.470001,103.059998,103.910004,99.349411,5231600,740
2021-01-25,103.75,103.949997,102.169998,103.449997,98.909592,5009000,741
2021-01-26,103.400002,105.209999,103.239998,104.690002,100.095169,7195300,742
